timestamp;id;rating;18_group;is_mi;fall_1;fall_2;fall_3;spring_1;spring_2;spring_3;is_first_time;percentile;17_group;blended;is_ml_student
2020-05-19 03:24:29;c154bbf18efdd4d760e52155eaa87929;635;185;1;Безопасность компьютерных систем;Сбор и обработка данных с помощью краудсорсинга;Высокопроизводительные вычисления;Компьютерные сети;Машинное обучение 2;Промышленное программирование на языке Java;Да;0,479820628;;;
2020-05-19 18:12:02;4d7035f3a6d0c55c4fbcf4031679545a;621;181;;Язык SQL;Statistical Learning Theory;Высокопроизводительные вычисления;Машинное обучение 2;Компьютерные сети;Анализ данных в бизнесе;Да;0,551569507;;;
2020-05-20 11:34:11;7a21ef645ecb42198be493dd65320e78;495;188;;Принятие решений в условиях риска и неопределённости;Язык SQL;Сбор и обработка данных с помощью краудсорсинга;Анализ данных в бизнесе;Промышленное программирование на языке Java;Дополнительные главы прикладной статистики;Да;0,995515695;;;
2020-05-20 11:49:39;bd416140ecdb32b6dbd7f40820bf63b1;518;185;;Безопасность компьютерных систем;Теория баз данных;Язык SQL;Машинное обучение 2;Компьютерные сети;Промышленное программирование на языке Java;Да;0,977578475;;;
2020-05-20 11:57:07;e6f5eb76b34e7ab7bac753e6cb0a2279;634;184;;Теория баз данных;Безопасность компьютерных систем;Моделирование временных рядов;Компьютерные сети;Промышленное программирование на языке Java;Анализ данных в бизнесе;Да;0,484304933;;;
2020-05-21 16:33:16;1341f488fae5f1ccf164960fd6506cd0;584;188;;Язык SQL;Теория баз данных;Безопасность компьютерных систем;Промышленное программирование на языке Java;Компьютерные сети;Системы баз данных;Да;0,721973094;;;
2020-05-24 01:21:32;04bcb5c9d23813ffa940e1febb27fadc;646;186;;Теория баз данных;Высокопроизводительные вычисления;Безопасность компьютерных систем;Компьютерные сети;Дискретная оптимизация;Машинное обучение 2;Нет;0,430493274;;;
2020-05-24 01:23:32;9d19b0d5f4fc8d7edc2258406f872c4e;695;188;;Безопасность компьютерных систем;Язык SQL;Высокопроизводительные вычисления;Компьютерные сети;Дискретная оптимизация;Численные методы;;0,197309417;;;
2020-05-14 20:23:22;d555d2805e1d93d4f023e57dc4c8f403;996;;;Безопасность компьютерных систем;Глубинное обучение в обработке звука;Байесовские методы машинного обучения;Компьютерное зрение;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Да;0,963768116;172;DevOps;
2020-05-14 20:47:14;253bbe1a2021d0404712a1e4acd22939;1106;;;Безопасность компьютерных систем;Моделирование временных рядов;Statistical Learning Theory;Проектирование и разработка высоконагруженных сервисов;Численные методы;Методы сжатия и передачи медиаданных;Да;0,673913043;176;DevOps;
